airline_id,airline_name
UA,UnitedAirLinesInc.
AA,AmericanAirlinesInc.
US,USAirwaysInc.
F9,FrontierAirlinesInc.
B6,JetBlueAirways
OO,SkywestAirlinesInc.
AS,AlaskaAirlinesInc.
NK,SpiritAirLines
WN,SouthwestAirlinesCo.
DL,DeltaAirLinesInc.
EV,AtlanticSoutheastAirlines
HA,HawaiianAirlinesInc.
MQ,AmericanEagleAirlinesInc.
VX,VirginAmerica
