airport_id,airport_name
ABE,LehighValleyInternationalAirport
ABI,AbileneRegionalAirport
ABQ,AlbuquerqueInternationalSunport
ABR,AberdeenRegionalAirport
ABY,SouthwestGeorgiaRegionalAirport
ACK,NantucketMemorialAirport
ACT,WacoRegionalAirport
ACV,ArcataAirport
ACY,AtlanticCityInternationalAirport
ADK,AdakAirport
